"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PER","Persons","3","Thousands",,,986.4555,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PER","Persons","3","Thousands",,,983.7769,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PER","Persons","3","Thousands",,,998.6464,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PER","Persons","3","Thousands",,,1013.67,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PER","Persons","3","Thousands",,,982.4848,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PER","Persons","3","Thousands",,,1007.852,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PER","Persons","3","Thousands",,,1031.304,,
"AUS","Australia","LFEACNTT","Employment - by economic activity, Construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PER","Persons","3","Thousands",,,1029.04,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1989","1989","PER","Persons","3","Thousands",,,1994.559,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1990","1990","PER","Persons","3","Thousands",,,1938.362,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1991","1991","PER","Persons","3","Thousands",,,1800.75,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1992","1992","PER","Persons","3","Thousands",,,1771.673,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1993","1993","PER","Persons","3","Thousands",,,1775.622,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1994","1994","PER","Persons","3","Thousands",,,1824.058,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1995","1995","PER","Persons","3","Thousands",,,1848.255,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1996","1996","PER","Persons","3","Thousands",,,1832.154,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1997","1997","PER","Persons","3","Thousands",,,1822.539,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1998","1998","PER","Persons","3","Thousands",,,1823.036,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1999","1999","PER","Persons","3","Thousands",,,1829.053,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2000","2000","PER","Persons","3","Thousands",,,1915.583,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2001","2001","PER","Persons","3","Thousands",,,1864.94,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2002","2002","PER","Persons","3","Thousands",,,1917.724,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2003","2003","PER","Persons","3","Thousands",,,1958.802,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2004","2004","PER","Persons","3","Thousands",,,2022.561,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2005","2005","PER","Persons","3","Thousands",,,2082.907,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PER","Persons","3","Thousands",,,2146.702,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PER","Persons","3","Thousands",,,2203.792,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PER","Persons","3","Thousands",,,2315.58,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2009","2009","PER","Persons","3","Thousands",,,2276.899,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2010","2010","PER","Persons","3","Thousands",,,2304.782,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2011","2011","PER","Persons","3","Thousands",,,2327.637,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2012","2012","PER","Persons","3","Thousands",,,2343.564,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2013","2013","PER","Persons","3","Thousands",,,2338.203,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2014","2014","PER","Persons","3","Thousands",,,2334.034,,
"AUS","Australia","LFEAICTT","Employment - by economic activity, Industry including construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2015","2015","PER","Persons","3","Thousands",,,2301.61,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1989","1989","PER","Persons","3","Thousands",,,1395.466,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1990","1990","PER","Persons","3","Thousands",,,1347.108,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1991","1991","PER","Persons","3","Thousands",,,1262.706,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1992","1992","PER","Persons","3","Thousands",,,1251.99,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1993","1993","PER","Persons","3","Thousands",,,1229.564,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1994","1994","PER","Persons","3","Thousands",,,1255.888,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1995","1995","PER","Persons","3","Thousands",,,1251.252,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1996","1996","PER","Persons","3","Thousands",,,1238.358,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1997","1997","PER","Persons","3","Thousands",,,1245.194,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1998","1998","PER","Persons","3","Thousands",,,1212.038,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","1999","1999","PER","Persons","3","Thousands",,,1178.7,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2000","2000","PER","Persons","3","Thousands",,,1231.971,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2001","2001","PER","Persons","3","Thousands",,,1206.094,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2002","2002","PER","Persons","3","Thousands",,,1224.942,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2003","2003","PER","Persons","3","Thousands",,,1214.477,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2004","2004","PER","Persons","3","Thousands",,,1234.68,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2005","2005","PER","Persons","3","Thousands",,,1241.192,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2006","2006","PER","Persons","3","Thousands",,,1250.56,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2007","2007","PER","Persons","3","Thousands",,,1272.604,,
"AUS","Australia","LFEAINTT","Employment - by economic activity, Industry excluding construction, All persons","STSA","Level, rate or quantity series, s.a.","A","Annual","2008","2008","PER","Persons","3","Thousands",,,1334.544,,
